market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-07-31,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-08-31,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-09-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-10-31,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-11-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-11-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-11-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-11-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750065,DROPOUT.05FEB2012.JOHNSON,Gary Johnson to dropout of the 2012 Presidential race before midnight ET 05 Feb 2012,2011-11-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
