market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-11-28,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-11-29,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-11-30,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-01,0.0,0.0,0.0,2.0,0,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-02,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-03,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-04,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-05,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-06,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-07,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-08,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-09,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-10,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-11,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-12,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-13,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-14,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-15,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-16,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-17,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-18,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-19,0.0,0.0,0.0,2.0,0,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-20,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-21,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-22,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-23,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-24,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-25,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-26,0.0,0.0,0.0,2.0,0,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-27,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-28,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-29,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-30,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2002-12-31,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-01,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-02,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-03,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-04,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-05,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-06,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-07,0.0,0.0,0.0,3.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-08,0.0,0.0,0.0,3.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-09,0.0,0.0,0.0,3.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-10,0.0,0.0,0.0,3.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-11,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-12,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-13,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-14,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-15,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-16,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-17,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-18,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-19,0.0,0.0,0.0,2.0,10,0,3.0,3.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-20,1.0,1.0,1.0,1.0,11,1,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-21,0.0,0.0,0.0,1.0,11,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-22,2.0,2.0,2.0,2.0,11,1,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-23,0.0,0.0,0.0,2.0,11,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-24,0.0,0.0,0.0,2.0,11,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-25,0.0,0.0,0.0,1.0,11,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-27,0.0,0.0,0.0,1.0,11,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-28,0.0,0.0,0.0,1.0,11,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-29,0.0,0.0,0.0,1.0,11,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-30,0.0,0.0,0.0,1.0,11,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-01-31,0.0,0.0,0.0,1.0,11,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-01,0.0,0.0,0.0,1.0,11,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-02,0.0,0.0,0.0,1.0,11,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-03,0.0,0.0,0.0,1.0,11,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-04,0.0,0.0,0.0,1.0,11,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-05,0.0,0.0,0.0,1.0,11,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-06,0.0,0.0,0.0,1.0,11,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-07,0.0,0.0,0.0,1.0,11,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-08,0.0,0.0,0.0,1.0,11,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-09,0.0,0.0,0.0,1.0,11,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-10,1.0,1.0,1.0,1.0,30,19,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-11,1.0,1.0,1.0,1.0,311,281,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-12,0.0,0.0,0.0,1.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-13,0.0,0.0,0.0,1.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-14,0.0,0.0,0.0,1.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-15,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-16,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-17,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-18,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-19,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-20,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-21,0.0,0.0,0.0,0.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-22,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-23,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-24,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-25,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-26,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-27,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-02-28,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-01,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-02,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-03,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-04,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-05,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-06,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-07,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-08,2.0,2.0,2.0,2.0,311,30,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-09,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-10,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-11,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-12,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-13,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-14,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-15,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-16,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-17,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-18,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-19,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-20,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-21,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-22,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-23,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-24,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-25,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-26,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-27,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-28,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-29,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-30,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-03-31,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-01,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-02,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-03,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-04,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-05,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-06,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-07,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-08,0.0,0.0,0.0,2.0,311,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-09,1.0,1.0,1.0,1.0,316,5,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-10,0.0,0.0,0.0,1.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-11,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-12,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-13,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-14,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-15,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-16,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-17,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-18,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-19,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-20,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-21,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-22,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-23,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-24,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-24,0.0,0.0,0.0,0.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-25,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-26,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-27,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-28,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-29,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-04-30,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-05-01,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-05-02,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-05-03,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-05-04,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-05-05,0.0,0.0,0.0,2.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-05-06,0.0,0.0,0.0,0.0,316,0,3.0,1.0
6230,DEM.2004.MCCAIN,John McCain to be 2004 Democratic Presidential  Nominee,2003-05-07,0.0,0.0,0.0,2.0,316,0,3.0,1.0
