market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-07-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-07-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-07-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-07-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-07-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-07-31,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-08-31,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-09-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-10-31,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-11-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-12-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-12-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
750351,US.ACTION.NKOREA.JUN12,United States to conduct overt military action against North Korea before midnight ET on 30 Jun 2012,2011-12-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
