market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-01-31,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-27,17.5,17.5,17.5,17.5,2,2,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-02-28,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-01,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-02,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-03,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-04,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-05,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-06,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-07,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-08,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-09,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-10,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-11,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-12,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-13,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-14,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-15,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-16,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-17,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-18,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-19,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-20,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-21,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-22,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-23,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-24,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-25,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-26,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-27,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-28,0.0,0.0,0.0,17.5,2,0,17.5,17.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-29,7.5,7.5,7.5,7.5,12,10,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-30,0.0,0.0,0.0,7.5,12,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-03-31,0.0,0.0,0.0,7.5,12,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-01,0.0,0.0,0.0,7.5,12,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-02,0.0,0.0,0.0,7.5,12,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-03,0.0,0.0,0.0,7.5,12,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-04,0.0,0.0,0.0,7.5,12,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-05,0.0,0.0,0.0,7.5,12,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-06,7.5,7.5,7.5,7.5,22,10,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-07,0.0,0.0,0.0,7.5,22,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-08,0.0,0.0,0.0,7.5,22,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-09,0.0,0.0,0.0,7.5,22,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-10,0.0,0.0,0.0,7.5,22,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-11,0.0,0.0,0.0,7.5,22,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-12,0.0,0.0,0.0,7.5,22,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-13,0.0,0.0,0.0,7.5,22,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-14,0.0,0.0,0.0,7.5,22,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-15,7.5,7.5,7.5,7.5,27,5,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-16,0.0,0.0,0.0,7.5,27,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-17,0.0,0.0,0.0,7.5,27,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-18,0.0,0.0,0.0,7.5,27,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-19,0.0,0.0,0.0,7.5,27,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-20,0.0,0.0,0.0,7.5,27,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-21,0.0,0.0,0.0,7.5,27,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-22,0.0,0.0,0.0,7.5,27,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-23,0.0,0.0,0.0,7.5,27,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-24,8.5,8.5,8.5,8.5,28,1,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-25,0.0,0.0,0.0,8.5,28,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-26,0.0,0.0,0.0,8.5,28,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-27,0.0,0.0,0.0,8.5,28,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-28,0.0,0.0,0.0,8.5,28,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-29,8.5,8.5,8.5,8.5,32,4,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-04-30,0.0,0.0,0.0,8.5,32,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-01,0.0,0.0,0.0,8.5,32,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-02,9.5,10.0,9.5,10.0,35,3,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-03,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-04,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-05,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-06,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-07,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-08,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-09,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-10,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-11,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-12,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-13,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-14,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-15,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-16,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-17,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-18,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-19,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-20,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-21,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-22,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-23,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-24,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-25,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-26,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-27,0.0,0.0,0.0,10.0,35,0,17.5,7.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-28,4.5,4.5,4.5,4.5,35,2,17.5,4.5
662440,BIRDFLU.USA.SEP09,Bird Flu (H5N1) to be confirmed in the USA before midnight ET on  30 Sep 2009,2009-05-29,0.0,0.0,0.0,4.5,35,0,17.5,4.5
