market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-02,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-03,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-04,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-05,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-06,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-07,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-08,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-09,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-10,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-11,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-12,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-13,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-14,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-15,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-16,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-17,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-18,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-19,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-20,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-21,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-22,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-23,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-24,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-25,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-26,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-27,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-28,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-29,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-30,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-05-31,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-01,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-02,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-03,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-04,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-05,0.0,0.0,0.0,75.0,2,0,75.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-06,84.9,85.0,84.9,85.0,12,12,85.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-07,0.0,0.0,0.0,85.0,12,0,85.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-08,90.0,90.0,90.0,90.0,22,10,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-09,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-10,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-11,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-12,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-13,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-14,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-15,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-16,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-17,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-18,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-19,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-20,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-21,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-22,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-23,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-24,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-25,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-26,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-27,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-28,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-29,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-06-30,0.0,0.0,0.0,90.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-01,89.0,89.0,89.0,89.0,22,2,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-02,0.0,0.0,0.0,89.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-03,0.0,0.0,0.0,89.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-04,0.0,0.0,0.0,89.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-05,0.0,0.0,0.0,89.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-06,0.0,0.0,0.0,89.0,22,0,90.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-07,91.0,91.0,91.0,91.0,22,10,91.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-08,0.0,0.0,0.0,91.0,22,0,91.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-09,0.0,0.0,0.0,91.0,22,0,91.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-10,0.0,0.0,0.0,91.0,22,0,91.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-11,0.0,0.0,0.0,91.0,22,0,91.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-12,0.0,0.0,0.0,91.0,22,0,91.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-13,0.0,0.0,0.0,91.0,22,0,91.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-14,94.9,94.9,94.9,94.9,22,3,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-15,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-16,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-17,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-18,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-19,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-20,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-21,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-22,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-23,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-24,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-25,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-26,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-27,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-28,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-29,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-30,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-07-31,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-01,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-02,0.0,0.0,0.0,94.9,22,0,94.9,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-03,95.0,95.0,95.0,95.0,23,1,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-04,95.0,95.0,95.0,95.0,25,2,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-05,0.0,0.0,0.0,95.0,25,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-06,0.0,0.0,0.0,95.0,25,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-07,0.0,0.0,0.0,95.0,25,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-08,0.0,0.0,0.0,95.0,25,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-09,0.0,0.0,0.0,95.0,25,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-10,0.0,0.0,0.0,95.0,25,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-11,95.0,95.0,95.0,95.0,26,1,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-12,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-13,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-14,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-15,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-16,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-17,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-18,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-19,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-20,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-21,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-22,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-23,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-24,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-25,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-26,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-27,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-28,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-29,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-30,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-08-31,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-01,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-02,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-03,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-04,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-05,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-06,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-07,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-08,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-09,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-10,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-11,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-12,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-13,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-14,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-15,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-16,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-17,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-18,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-19,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-20,0.0,0.0,0.0,95.0,26,0,95.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-21,97.0,97.0,97.0,97.0,26,11,97.0,75.0
676619,GERM.CHAN.MERKEL,Angela Merkel to be re-elected Chancellor of Germany after 2009 Federal Election,2009-09-22,0.0,0.0,0.0,97.0,26,0,97.0,75.0
