market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-06-20,0.0,0.0,0.0,0.5,0,0,0.0,0.0
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-06-21,0.0,0.0,0.0,0.5,0,0,0.0,0.0
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-06-22,0.0,0.0,0.0,0.5,0,0,0.0,0.0
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-06-23,0.0,0.0,0.0,0.5,0,0,0.0,0.0
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-06-24,0.0,0.0,0.0,0.5,0,0,0.0,0.0
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-06-25,0.0,0.0,0.0,0.5,0,0,0.0,0.0
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-06-26,0.0,0.0,0.0,0.5,0,0,0.0,0.0
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-06-27,0.0,0.0,0.0,0.5,0,0,0.0,0.0
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-06-28,0.0,0.0,0.0,0.5,0,0,0.0,0.0
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-06-29,0.0,0.0,0.0,0.5,0,0,0.0,0.0
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-06-30,0.0,0.0,0.0,0.5,0,0,0.0,0.0
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-01,0.0,0.0,0.0,0.5,0,0,0.0,0.0
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-02,0.0,0.0,0.0,0.5,0,0,0.0,0.0
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-03,0.0,0.0,0.0,0.5,0,0,0.0,0.0
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-04,0.0,0.0,0.0,0.5,0,0,0.0,0.0
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-05,0.0,0.0,0.0,0.5,0,0,0.0,0.0
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-06,0.0,0.0,0.0,0.5,0,0,0.0,0.0
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-07,0.0,0.0,0.0,0.5,0,0,0.0,0.0
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-08,0.1,0.1,0.1,0.1,2,2,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-09,0.1,0.1,0.1,0.1,5,3,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-10,0.0,0.0,0.0,0.1,5,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-11,0.1,0.1,0.1,0.1,6,1,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-12,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-13,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-14,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-15,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-16,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-17,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-18,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-19,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-20,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-21,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-22,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-23,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-24,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-25,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-26,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-27,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-28,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-29,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-30,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-07-31,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-01,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-02,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-03,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-04,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-05,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-06,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-07,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-08,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-09,0.0,0.0,0.0,0.1,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-10,0.0,0.0,0.0,0.0,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-11,0.0,0.0,0.0,0.0,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-12,0.0,0.0,0.0,1.0,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-13,0.0,0.0,0.0,1.0,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-14,0.0,0.0,0.0,1.0,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-15,0.0,0.0,0.0,1.0,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-16,0.0,0.0,0.0,1.0,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-17,0.0,0.0,0.0,1.0,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-18,0.0,0.0,0.0,1.0,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-19,0.0,0.0,0.0,1.0,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-20,0.0,0.0,0.0,1.0,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-21,0.0,0.0,0.0,1.0,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-22,0.0,0.0,0.0,1.0,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-23,0.0,0.0,0.0,1.0,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-24,0.0,0.0,0.0,1.0,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-25,0.0,0.0,0.0,1.0,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-26,0.0,0.0,0.0,1.0,6,0,0.1,0.1
363085,FINAL.STORM.DEBBY,Debby to be the last named Atlantic Storm of 2006 Hurricane Season,2006-08-27,0.0,0.0,0.0,1.0,6,0,0.1,0.1
