market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-05,0.0,0.0,0.0,17.0,2,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-06,0.0,0.0,0.0,17.0,2,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-07,2.0,2.0,2.0,15.0,4,2,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-08,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-09,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-10,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-11,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-12,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-13,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-14,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-15,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-16,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-17,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-18,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-19,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-20,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-21,0.0,0.0,0.0,0.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-22,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-23,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-24,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-25,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-26,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-27,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-28,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-29,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-30,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-07-31,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-01,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-02,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-03,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-04,0.0,0.0,0.0,8.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-05,0.0,0.0,0.0,6.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-06,0.0,0.0,0.0,3.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-07,0.0,0.0,0.0,3.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-08,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-09,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-10,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-11,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-12,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-13,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-14,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-15,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-16,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-17,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-18,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-19,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-20,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-21,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-22,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-23,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-24,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-25,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-26,0.0,0.0,0.0,0.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-27,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-28,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-29,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-30,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-08-31,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-01,0.0,0.0,0.0,0.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-02,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-03,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-04,0.0,0.0,0.0,2.0,4,0,2.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-05,2.0,5.0,2.0,4.0,24,20,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-06,0.0,0.0,0.0,4.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-07,0.0,0.0,0.0,4.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-08,0.0,0.0,0.0,4.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-09,0.0,0.0,0.0,4.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-10,0.0,0.0,0.0,4.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-11,0.0,0.0,0.0,4.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-12,0.0,0.0,0.0,3.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-13,0.0,0.0,0.0,3.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-14,0.0,0.0,0.0,3.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-15,0.0,0.0,0.0,3.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-16,0.0,0.0,0.0,3.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-17,0.0,0.0,0.0,3.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-19,0.0,0.0,0.0,3.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-20,0.0,0.0,0.0,3.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-21,0.0,0.0,0.0,3.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-22,0.0,0.0,0.0,3.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-23,0.0,0.0,0.0,3.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-24,0.0,0.0,0.0,3.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-25,0.0,0.0,0.0,0.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-26,0.0,0.0,0.0,2.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-27,0.0,0.0,0.0,2.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-28,0.0,0.0,0.0,2.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-29,0.0,0.0,0.0,2.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-09-30,0.0,0.0,0.0,2.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-01,0.0,0.0,0.0,2.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-02,0.0,0.0,0.0,2.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-03,0.0,0.0,0.0,2.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-04,0.0,0.0,0.0,2.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-05,0.0,0.0,0.0,2.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-06,0.0,0.0,0.0,2.0,24,0,5.0,2.0
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-07,0.3,2.0,0.3,1.0,45,21,5.0,0.3
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-08,0.0,0.0,0.0,1.0,45,0,5.0,0.3
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-09,0.0,0.0,0.0,1.0,45,0,5.0,0.3
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-10,0.0,0.0,0.0,1.0,45,0,5.0,0.3
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-11,0.0,0.0,0.0,1.0,45,0,5.0,0.3
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-12,2.5,2.5,0.2,1.0,91,71,5.0,0.2
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-13,0.0,0.0,0.0,1.0,91,0,5.0,0.2
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-14,0.0,0.0,0.0,1.0,91,0,5.0,0.2
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-15,0.0,0.0,0.0,1.0,91,0,5.0,0.2
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-16,2.0,2.0,2.0,1.0,95,4,5.0,0.2
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-17,0.0,0.0,0.0,1.0,95,0,5.0,0.2
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-18,0.0,0.0,0.0,1.0,95,0,5.0,0.2
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-19,0.0,0.0,0.0,1.0,95,0,5.0,0.2
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-20,0.0,0.0,0.0,1.0,95,0,5.0,0.2
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-21,2.0,2.0,1.9,1.0,226,131,5.0,0.2
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-22,0.0,0.0,0.0,1.0,226,0,5.0,0.2
244456,FED.CHAIR.FERGUSON,Roger Ferguson to be announced as Next Chairman of the Federal Reserve,2005-10-23,0.0,0.0,0.0,1.0,226,0,5.0,0.2
