market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-10-16,0.0,0.0,0.0,55.0,0,0,0.0,0.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-10-17,0.0,0.0,0.0,55.0,0,0,0.0,0.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-10-18,0.0,0.0,0.0,55.0,0,0,0.0,0.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-10-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-10-20,0.0,0.0,0.0,55.0,0,0,0.0,0.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-10-21,75.0,75.0,75.0,55.0,1,1,75.0,75.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-10-22,0.0,0.0,0.0,55.0,1,0,75.0,75.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-10-23,0.0,0.0,0.0,55.0,1,0,75.0,75.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-10-24,0.0,0.0,0.0,55.0,1,0,75.0,75.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-10-25,0.0,0.0,0.0,55.0,1,0,75.0,75.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-10-26,0.0,0.0,0.0,55.0,1,0,75.0,75.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-10-27,0.0,0.0,0.0,0.0,1,0,75.0,75.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-10-28,0.0,0.0,0.0,55.0,1,0,75.0,75.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-10-29,55.0,55.0,55.0,55.0,11,10,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-10-30,0.0,0.0,0.0,55.0,11,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-10-31,0.0,0.0,0.0,55.0,11,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-01,75.0,75.0,75.0,70.0,15,4,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-02,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-03,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-04,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-05,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-06,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-07,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-08,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-09,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-10,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-11,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-12,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-13,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-14,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-15,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-16,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-17,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-18,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-19,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-20,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-21,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-22,58.0,58.0,58.0,75.0,15,5,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-23,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-24,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-25,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-26,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-27,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-28,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-29,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-11-30,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-01,0.0,0.0,0.0,75.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-02,0.0,0.0,0.0,0.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-03,0.0,0.0,0.0,0.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-04,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-05,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-06,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-07,0.0,0.0,0.0,0.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-08,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-09,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-10,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-11,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-12,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-13,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-14,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-15,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-16,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-17,0.0,0.0,0.0,0.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-18,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-19,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-20,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-21,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-22,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-23,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-24,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-25,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-26,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-27,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-28,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-29,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-30,0.0,0.0,0.0,0.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2005-12-31,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-01,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-02,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-03,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-04,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-05,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-06,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-07,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-08,0.0,0.0,0.0,0.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-09,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-10,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-11,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-12,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-13,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-14,0.0,0.0,0.0,0.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-15,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-16,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-17,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-18,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-19,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-20,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-21,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-22,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-23,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-24,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-25,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-26,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-27,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-28,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-29,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-30,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-01-31,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-01,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-02,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-03,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-04,0.0,0.0,0.0,58.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-05,0.0,0.0,0.0,0.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-06,0.0,0.0,0.0,0.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-07,0.0,0.0,0.0,25.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-08,0.0,0.0,0.0,25.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-09,0.0,0.0,0.0,25.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-10,0.0,0.0,0.0,25.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-11,0.0,0.0,0.0,0.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-12,0.0,0.0,0.0,28.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-13,0.0,0.0,0.0,28.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-14,0.0,0.0,0.0,28.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-15,0.0,0.0,0.0,28.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-16,0.0,0.0,0.0,28.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-17,0.0,0.0,0.0,28.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-18,0.0,0.0,0.0,28.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-19,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-20,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-21,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-22,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-23,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-24,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-25,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-26,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-27,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-02-28,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-01,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-02,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-03,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-04,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-05,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-06,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-07,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-08,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-09,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-10,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-11,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-12,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-13,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-14,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-15,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-16,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-17,0.0,0.0,0.0,33.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-18,0.0,0.0,0.0,0.0,15,0,75.0,55.0
287374,RYAN.GUILTY.CORRUPTION,George Ryan to be found guilty of ONE or MORE charge,2006-03-19,0.0,0.0,0.0,33.0,15,0,75.0,55.0
