market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-07-21,0.0,0.0,0.0,1.0,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-07-22,0.0,0.0,0.0,1.0,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-07-23,0.0,0.0,0.0,1.0,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-07-24,0.0,0.0,0.0,1.0,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-07-25,0.0,0.0,0.0,1.0,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-07-26,0.0,0.0,0.0,1.0,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-07-27,0.0,0.0,0.0,1.0,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-07-28,0.0,0.0,0.0,1.0,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-07-29,0.0,0.0,0.0,1.0,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-07-30,0.0,0.0,0.0,1.0,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-07-31,0.0,0.0,0.0,1.0,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-02,0.0,0.0,0.0,1.0,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-03,0.0,0.0,0.0,1.0,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-04,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-05,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-06,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-07,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-08,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-09,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-10,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-11,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-12,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-13,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-14,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-15,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-16,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-17,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-18,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-19,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-20,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-21,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-22,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-23,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-24,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-25,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-26,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-27,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-28,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-29,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-30,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-08-31,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-02,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-03,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-04,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-05,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-06,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-07,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-08,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-09,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-10,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-11,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-12,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-13,0.0,0.0,0.0,0.5,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-14,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-15,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-16,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-17,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-19,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-20,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-21,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-22,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-23,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-24,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-25,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-26,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-27,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-28,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-29,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-09-30,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-01,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-02,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-03,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-04,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-05,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-06,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-07,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-08,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-09,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-10,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-11,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-12,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-13,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-14,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-15,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-16,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-17,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-18,0.0,0.0,0.0,0.2,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-20,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-21,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-22,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-23,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-24,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-25,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-26,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-27,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-28,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-29,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-30,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-10-31,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-11-01,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-11-02,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-11-03,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-11-04,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-11-05,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-11-06,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-11-07,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-11-08,0.0,0.0,0.0,0.1,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-11-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-11-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
242295,TORY.ANCRAM,Michael Ancram to be the Next full time Leader of the Conservative Party,2005-11-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
