market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-02,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-03,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-04,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-05,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-06,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-07,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-08,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-09,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-10,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-11,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-12,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-13,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-14,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-15,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-16,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-17,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-18,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-19,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-20,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-21,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-22,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-23,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-24,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-25,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-26,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-27,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-02-28,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-01,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-02,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-03,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-04,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-05,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-06,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-07,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-08,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-09,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-10,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-11,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-12,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-13,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-14,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-15,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-16,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-17,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-18,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-19,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-20,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-21,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-22,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-23,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-24,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-25,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-26,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-27,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-28,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-29,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-30,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-03-31,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-01,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-02,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-03,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-04,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-05,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-06,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-07,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-08,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-09,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-10,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-11,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-12,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-13,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-14,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-15,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-16,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-17,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-18,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-19,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-20,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-21,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-22,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-23,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-24,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-25,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-26,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-27,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-28,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-29,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-04-30,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-05-01,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-05-02,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-05-03,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-05-04,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-05-05,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-05-06,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-05-07,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-05-08,0.0,0.0,0.0,1.0,0,0,0.0,0.0
658926,2012.REP.NOM.JOHNSON,Gary Johnson to be Republican Presidential Nominee in 2012,2009-05-09,0.0,0.0,0.0,1.0,0,0,0.0,0.0
