market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2008-12-20,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2008-12-21,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2008-12-22,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2008-12-23,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2008-12-24,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2008-12-25,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2008-12-26,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2008-12-27,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2008-12-28,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2008-12-29,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2008-12-30,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2008-12-31,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-01,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-02,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-03,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-04,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-05,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-06,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-07,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-08,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-09,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-10,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-11,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-12,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-13,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-14,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-15,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-16,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-17,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-18,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-19,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-20,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-21,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-22,0.0,0.0,0.0,6.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-23,8.0,8.0,8.0,8.0,43,10,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-24,9.0,9.0,9.0,9.0,43,10,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-25,0.0,0.0,0.0,9.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-26,0.0,0.0,0.0,9.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-27,0.0,0.0,0.0,9.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-28,0.0,0.0,0.0,9.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-29,0.0,0.0,0.0,9.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-30,0.0,0.0,0.0,9.0,43,0,9.8,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-01-31,10.0,10.0,10.0,10.0,43,20,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-01,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-02,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-03,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-04,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-05,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-06,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-07,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-08,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-09,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-10,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-11,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-12,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-13,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-14,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-15,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-16,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-17,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-18,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-19,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-20,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-21,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-22,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-23,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-24,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-25,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-26,0.0,0.0,0.0,10.0,43,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-27,5.0,5.0,5.0,5.0,45,2,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-02-28,0.0,0.0,0.0,5.0,45,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-01,5.0,5.0,5.0,5.0,47,2,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-02,0.0,0.0,0.0,5.0,47,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-03,5.0,5.0,5.0,5.0,48,1,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-04,5.0,5.0,5.0,5.0,48,4,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-05,0.0,0.0,0.0,5.0,48,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-06,0.0,0.0,0.0,5.0,48,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-07,0.0,0.0,0.0,5.0,48,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-08,0.0,0.0,0.0,5.0,48,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-09,0.0,0.0,0.0,5.0,48,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-10,0.0,0.0,0.0,5.0,48,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-11,0.0,0.0,0.0,5.0,48,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-12,0.0,0.0,0.0,5.0,48,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-13,5.0,5.0,5.0,5.0,53,5,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-14,0.0,0.0,0.0,5.0,53,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-15,0.0,0.0,0.0,5.0,53,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-16,0.0,0.0,0.0,5.0,53,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-17,0.0,0.0,0.0,5.0,53,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-18,0.0,0.0,0.0,5.0,53,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-19,0.0,0.0,0.0,5.0,53,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-20,0.0,0.0,0.0,5.0,53,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-21,0.0,0.0,0.0,5.0,53,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-22,0.0,0.0,0.0,5.0,53,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-23,0.0,0.0,0.0,5.0,53,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-24,0.0,0.0,0.0,5.0,53,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-25,0.0,0.0,0.0,5.0,53,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-26,0.0,0.0,0.0,5.0,53,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-27,0.0,0.0,0.0,5.0,53,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-28,0.0,0.0,0.0,5.0,53,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-29,0.0,0.0,0.0,5.0,53,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-30,0.0,0.0,0.0,5.0,53,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-03-31,0.0,0.0,0.0,5.0,53,0,10.0,5.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-01,1.0,1.0,1.0,1.0,54,1,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-02,0.0,0.0,0.0,1.0,54,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-03,0.0,0.0,0.0,1.0,54,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-04,0.0,0.0,0.0,1.0,54,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-05,7.0,7.0,7.0,7.0,53,1,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-06,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-07,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-08,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-09,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-10,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-11,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-12,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-13,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-14,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-15,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-16,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-17,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-18,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-19,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-20,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-21,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-22,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-23,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-24,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-25,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-26,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-27,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-28,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-29,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-04-30,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-05-01,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-05-02,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-05-03,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-05-04,0.0,0.0,0.0,7.0,53,0,10.0,1.0
658928,2012.REP.NOM.GIULIANI,Rudy Giuliani to be Republican Presidential Nominee in 2012,2009-05-05,0.0,0.0,0.0,7.0,53,0,10.0,1.0
