market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-11-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-11-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-11-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-11-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-19,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-20,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-21,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-22,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-23,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-24,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-25,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-26,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-27,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-28,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-29,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-30,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2011-12-31,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-01,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-02,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-03,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-04,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-06,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-07,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-08,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-09,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-10,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-11,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-12,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-13,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-16,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-17,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-18,0.0,0.0,0.0,0.0,0,0,0.0,0.0
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-19,0.2,0.2,0.2,0.2,10,10,0.2,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-20,3.7,3.7,3.7,3.7,2,8,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-21,3.7,3.7,3.7,3.7,0,2,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-22,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-23,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-24,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-25,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-26,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-27,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-28,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-29,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-30,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-01-31,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-01,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-02,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-03,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-04,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-05,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-06,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-07,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-08,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-09,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-10,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-11,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-12,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-13,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-14,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-15,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-16,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-17,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-18,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-19,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-20,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-21,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-22,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-23,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-24,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-25,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-26,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-27,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-28,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-02-29,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-03-01,0.0,0.0,0.0,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-03-02,,,,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-03-03,,,,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-03-04,,,,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-03-05,,,,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-03-06,,,,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-03-07,,,,,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-03-08,,,,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-03-09,,,,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-03-10,,,,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-03-11,,,,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-03-12,,,,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-03-13,,,,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-03-14,,,,3.7,0,0,3.7,0.2
753325,NYC.SNOW.SEASON.+60.0in,Central Park to have 60.0 inches (or more) of snowfall between 1st Oct 2011 - 30th Apr 2012,2012-03-15,,,,3.7,0,0,3.7,0.2
